Global Rank,Institution,Country,Sector,Best Country Quartile
937,Institut Mondor de Recherche Biomedicale,FRA,Government,1
938,University of Bergen,NOR,Universities,1
938,"University of California, Santa Cruz",USA,Universities,1
940,U.S. Department of Energy,USA,Government,1
940,General Electric Company,MUL,Companies,2
942,Lanzhou University,CHN,Universities,1
942,Blood Systems Research Institute,USA,Health,1
944,Beijing University of Technology,CHN,Universities,1
945,University of Oulu,FIN,Universities,1
946,"China Medical University, Taichung",TWN,Universities,1
947,"Siemens AG, Germany",DEU,Companies,1
948,GeneDx,USA,Companies,1
949,Ludwig Boltzmann Institute for Traumatology,AUT,Health,1
950,University College London Hospital NHS Trust,GBR,Health,1
951,Wenzhou Medical University,CHN,Universities,1
952,Centro de Quimica Organica Manuel Lora Tamayo CS,ESP,Government,1
953,Shenzhen Municipal People’s Government,CHN,Government,1
954,University of Malaya,MYS,Universities,1
955,Ocean University of China,CHN,Universities,1
956,Deutsches Zentrum fur Herz Kreislauf Forschung,DEU,Health,1
957,California Department of Public Health,USA,Health,1
958,Fox Chase Cancer Center,USA,Health,1
959,Public Health England,GBR,Health,1
959,Universidade de Coimbra,PRT,Universities,1
961,Ulsan National Institute of Science and Technology,KOR,Universities,1
962,Agriculture and Agri-Food Canada,CAN,Government,1
963,Albert Einstein College of Medicine,USA,Universities,1
964,Shanghai Public Health Clinical Center,CHN,Health,1
964,Academy of Military Sciences of the Chinese People's Liberation Army,CHN,Government,1
966,Universitat d'Alacant,ESP,Universities,1
967,United States Geological Survey,USA,Government,1
968,"World Health Organization, Switzerland",CHE,Health,1
969,Universita degli Studi di Genova,ITA,Universities,1
970,University of Southern California Health Sciences Campus,USA,Health,1
971,Universidad de Salamanca,ESP,Universities,1
972,Institut de Recherche en Cancerologie de Montpellier,FRA,Government,1
973,Catholic University of Louvain,BEL,Universities,1
974,University of Delaware,USA,Universities,1
975,"University of Missouri, Columbia",USA,Universities,1
976,University Hospital Maastricht,NLD,Health,1
977,Shanghai Cancer Institute,CHN,Health,1
978,Klinikum Rechts der Isar der Technische Universitat Munchen,DEU,Health,1
978,Forschungszentrum Informatik,DEU,Government,1
980,Istituto Italiano di Tecnologia,ITA,Non-Profit,1
981,"Institute of Information Science, Academia Sinica",TWN,Government,1
982,"University of Texas, Dallas",USA,Universities,1
983,Drexel University,USA,Universities,1
984,Universita degli Studi di Roma Tor Vergata,ITA,Universities,1
985,NXP Semiconductors NV,MUL,Companies,2
986,Centro Nacional de Investigaciones Cardiovasculares,ESP,Health,1
986,"ZTE, China",CHN,Companies,1
988,IrsiCaixa AIDS Research Institute,ESP,Health,1
989,Masaryk University,CZE,Universities,1
990,"Novartis, Switzerland",CHE,Companies,1
991,University of Warsaw,POL,Universities,1
991,Deutsches Zentrum fur Luft- und Raumfahrt,DEU,Government,1
993,University of Macau,MAC,Universities,1
993,"Hypertension Arterielle, Pulmonaire: Physiopathologie et Innovation Therapeutique",FRA,Companies,1
995,"Lanzhou Institute of Chemical Physics, Chinese Academy of Sciences",CHN,Government,1
996,University of Dundee,GBR,Universities,1
997,Princess Margaret Cancer Centre,CAN,Health,1
998,Universidad de Zaragoza,ESP,Universities,1
998,"University of Texas, Health Science Center at Houston",USA,Universities,1
1000,Universidad Nacional de Colombia,COL,Universities,1
1001,"Centro de Investigacion Biomedica en Red sobre Enfermedades Neurodegenerativas, Madrid",ESP,Health,1
1002,University of Durham,GBR,Universities,1
1003,University of South Carolina,USA,Universities,1
1003,Kyungpook National University,KOR,Universities,1
1005,"Union Hospital, Tongji Medical College",CHN,Health,1
1006,Istituto di Farmacologia Traslazionale,ITA,Government,1
1007,Royal North Shore Hospital,AUS,Health,1
1008,Universita degli Studi di Pavia,ITA,Universities,1
1009,Universita degli Studi di Bari,ITA,Universities,1
1009,Oklahoma Medical Research Foundation,USA,Health,1
1011,Princess Maxima Center,NLD,Health,1
1012,United Nations,MUL,Non-Profit,1
1013,Generalitat de Catalunya,MUL,Government,1
1014,Institute of Materials Research and Engineering,SGP,Government,2
1014,Yonsei University Health System,KOR,Health,1
1014,La Trobe University,AUS,Universities,1
1017,Klinikum Ludwig Maximilians Universitat Munchen,DEU,Health,1
1017,Centre Mediterraneen de Medecine Moleculaire,FRA,Government,1
1019,Swiss Federal Laboratories for Materials Science and Technology,CHE,Government,1
1019,Universitat Pompeu Fabra,ESP,Universities,1
1021,Nestle Switzerland,CHE,Companies,1
1022,Universitatsspital Basel,CHE,Health,2
1023,China University of Petroleum,CHN,Universities,1
1024,Ruhr-Universitat Bochum,DEU,Universities,1
1025,"University of Hawaii, Manoa",USA,Universities,1
1025,Konica Minolta Inc,MUL,Companies,2
1027,OHSU Knight Cancer Institute,USA,Health,1
1027,Chulalongkorn University,THA,Universities,1
1029,IHU Mediterranee Infection,FRA,Health,1
1030,Lawrence Livermore National Laboratory,USA,Government,1
1031,Istituto Nazionale dei Tumori Fondazione Giovanni Pascale IRCCS,ITA,Health,1
1032,National Institute of Public Health of Japan,JPN,Health,1
1032,University of South Florida System,USA,Universities,1
1034,Met Office,GBR,Government,1
1035,"Suzhou Institute of Nano-Tech and Nano-Bionics, Chinese Academy of Sciences",CHN,Government,1
1036,Universita degli Studi di Milano-Bicocca,ITA,Universities,1
1037,"Centro de Investigacion Biomedica en Red en Bioingenieria, Biomateriales y Nanomedicina, Barcelona",ESP,Health,1
1038,Wake Forest University,USA,Universities,1
1039,"General Electric Co, USA",USA,Companies,1
1039,Seattle Children's Hospital,USA,Health,1
1041,China Aerospace Science and Technology Corp,CHN,Government,1
1042,Kavli Institute for Particle Astrophysics and Cosmology,USA,Non-Profit,1
1043,Hospital for Sick Children,CAN,Health,1
1044,Max Planck Institut fur Quantenoptik,DEU,Government,1
1045,Institut de Recherche pour le Developpement,MUL,Government,1
1046,University of Sussex,GBR,Universities,1
1047,National Heart Centre Singapore,SGP,Health,1
1047,Seoul National University Hospital,KOR,Health,1
1049,Universite de Rennes 1,FRA,Universities,1
1049,University of Indonesia,IDN,Universities,1
1051,Oxford Health NHS Foundation Trust,GBR,Health,1
1052,Shanghai Medical College of Fudan University,CHN,Universities,1
1053,"Siemens Healthineers, Germany",DEU,Companies,1
1053,"Boehringer Ingelheim, USA",USA,Companies,1
1055,Qatar Foundation,QAT,Non-Profit,1
1055,Hopitaux Universitaires de Geneve,CHE,Health,1
1057,Instituto de Biologia Molecular y Celular de Plantas Eduardo Primo Yufera,ESP,Government,1
1058,Universidade de Santiago de Compostela,ESP,Universities,1
1059,Instituto de Quimica-Fisica Rocasolano,ESP,Government,1
1059,Public Health Scotland,GBR,Health,1
1061,University of Florida Health Science Center,USA,Health,1
1062,Tokyo Institute of Technology,JPN,Universities,1
1062,Universidade do Minho,PRT,Universities,1
1064,Australian Research Council,AUS,Government,1
1065,"Sandia National Laboratories, New Mexico",USA,Government,1
1066,University of Tsukuba,JPN,Universities,1
1067,The Florida A&M University and The Florida State University College of Engineering,USA,Universities,1
1067,Clalit Health Services,ISR,Health,1
1067,Corteva Agriscience,MUL,Companies,2
1067,CEINGE-Biotecnologie Avanzate,ITA,Non-Profit,1
1071,Queen's University,CAN,Universities,1
1071,University College Cork,IRL,Universities,1
1073,Qatar University,QAT,Universities,1
1073,Politecnico di Torino,ITA,Universities,1
1073,Universite de Lille,FRA,Universities,1
1076,Medtronic,MUL,Companies,2
1077,Volkswagen AG,MUL,Companies,2
1078,Texas Biomedical Research Institute,USA,Health,1
1079,Queensland Institute of Medical Research,AUS,Health,1
1080,Instituto de Catalisis y Petroleoquimica ,ESP,Government,1
1081,"Shanghai Institute of Ceramics, Chinese Academy of Sciences",CHN,Government,1
1082,Southwest Petroleum University,CHN,Universities,1
1082,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",MEX,Government,1
1082,University of Turku,FIN,Universities,1
1085,Institut Necker Enfants Malades,FRA,Government,1
1085,Georgetown University Medical Center,USA,Health,1
1087,University of Texas Medical Branch ,USA,Universities,1
1087,Ospedale Pediatrico Bambino Gesu,VAT,Health,1
1087,University Hospital of Bern,CHE,Health,2
1090,Universitat zu Koln,DEU,Universities,1
1091,First Affiliated Hospital of Zhengzhou University,CHN,Health,1
1092,University of Otago,NZL,Universities,1
1093,The University of Newcastle,AUS,Universities,1
1094,National Cheng Kung University,TWN,Universities,1
1095,Electronics Telecommunication Research Institute,KOR,Government,1
1096,Center for Nanoscale Materials,USA,Government,1
1097,Korea University of Science and Technology,KOR,Universities,1
1098,Universidad Carlos III de Madrid,ESP,Universities,1
1099,Universitatsmedizin der Johannes Gutenberg-Universitat Mainz,DEU,Health,1
1100,Mahidol University,THA,Universities,1
1101,Hangzhou Dianzi University,CHN,Universities,1
1101,Institute for Basic Science,KOR,Government,1
1103,McGill University Health Centre,CAN,Health,1
1104,Institut de Genetique et Biologie Moleculaire et Cellulaire,FRA,Government,1
1105,Universite de Lorraine,FRA,Universities,1
1106,Nationwide Children's Hospital ,USA,Health,1
1106,Olivia Newton-John Cancer Research Institute,AUS,Health,1
1108,Florida International University,USA,Universities,1
1109,Fundacio de Recerca Clinic Barcelona-Institut d’Investigacions Biomediques August Pi i Sunyer,ESP,Health,1
1109,Centro de Investigacion Biomedica en Red de Enfermedades Hepaticas y Digestivas,ESP,Health,1
1111,National Jewish Health,USA,Health,1
1112,Umea University,SWE,Universities,1
1112,Loughborough University,GBR,Universities,1
1114,Westmead Hospital ,AUS,Health,1
1115,Northwell Health,USA,Health,1
1116,Wake Forest University Baptist Medical Center,USA,Health,2
1116,Centre de Recherches en Cancerologie de Toulouse,FRA,Government,1
1118,Vrije Universiteit Brussel,BEL,Universities,1
1119,Centre Interuniversitaire de Recherche et d'Ingenierie des Materiaux,FRA,Government,1
1120,Shandong University of Science and Technology,CHN,Universities,1
1121,Universitatsklinikum Essen,DEU,Health,1
1122,"GlaxoSmithKline, Belgium",BEL,Companies,1
1123,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,ITA,Health,1
1124,"Weill Cornell Medicine, Qatar",QAT,Universities,1
1125,Leibniz-Institut fur Neue Materialien,DEU,Government,1
1126,Instituto de Biologia Molecular y Celular del Cancer de Salamanca,ESP,Government,1
1127,University of Wisconsin Health,USA,Health,2
1128,New York Presbyterian Hospital,USA,Health,1
1128,Kavli Institute for Cosmology,GBR,Government,1
1128,Temple Health,USA,Health,1
1128,BioTechMed-Graz,AUT,Government,1
1132,Institut pour l'Avancee des Biosciences,FRA,Government,1
1133,Istituto Nazionale di Fisica Nucleare,ITA,Government,1
1134,The University of Reading,GBR,Universities,1
1135,Max Planck Institut fur Psychiatrie,DEU,Government,1
1135,Institut de Chimie des Substances Naturelles,FRA,Government,1
1137,Gujarat Pollution Control Board,IND,Government,1
1138,Technische Universitat Graz,AUT,Universities,1
1139,Universita degli Studi di Catania,ITA,Universities,1
1140,Forschungszentrum Julich in der Helmholtz Gemeinschaft,DEU,Government,1
1141,Rutgers Cancer Institute of New Jersey,USA,Health,1
1142,Institut Pasteur de Lille,FRA,Health,1
1143,Universitatsklinikum Freiburg,DEU,Health,1
1143,"Springer Nature, New Zealand",NZL,Companies,1
1145,Fundacion Josep Carreras,ESP,Non-Profit,1
1146,Deutsche Telekom Headquarters,MUL,Companies,2
1147,Chung-Ang University,KOR,Universities,1
1148,"Louisiana State University, Baton Rouge",USA,Universities,1
1149,ABB Group,MUL,Companies,2
1150,Universite de Nantes,FRA,Universities,1
1151,"Ford Motor Co, USA",USA,Companies,1
1152,National Tsing Hua University,TWN,Universities,1
1153,Istituto di Neuroscienze,ITA,Government,1
1154,Qingdao University of Science and Technology,CHN,Universities,1
1155,Universidad de Buenos Aires,ARG,Universities,1
1156,Cardiovascular Research Foundation,USA,Health,1
1156,The University of Kent,GBR,Universities,1
1158,Istituto Superiore di Sanita,ITA,Health,1
1159,National Taiwan University Hospital,TWN,Health,1
1160,University of Nebraska Medical Center,USA,Universities,1
1160,Universita degli Studi di Modena e Reggio Emilia,ITA,Universities,1
1160,Corning,MUL,Companies,2
1163,National Institute for Public Health and the Environment,NLD,Health,1
1164,Max Planck Institut fur Chemische Energiekonversion,DEU,Government,2
1165,Indian Council of Agricultural Research,IND,Government,1
1166,CIC biomaGUNE,ESP,Government,1
1167,University of Cincinnati Medical Center,USA,Health,2
1168,University of Ulsan,KOR,Universities,1
1169,Chongqing Medical University,CHN,Universities,1
1170,University of Saskatchewan,CAN,Universities,1
1171,Tulane University,USA,Universities,1
1172,"BASF, Germany",DEU,Companies,1
1173,London School of Economics and Political Science,GBR,Universities,1
1174,"Kunming Institute of Zoology, Chinese Academy of Sciences",CHN,Government,1
1174,Laboratoire des Signaux et Systemes,FRA,Government,1
1176,Public Health Wales,GBR,Health,1
1177,Max Planck Institut fur Mikrostrukturphysik,DEU,Government,2
1177,Universite Libre de Bruxelles,BEL,Universities,1
1179,Pusan National University,KOR,Universities,1
1179,Universidad de Malaga,ESP,Universities,1
1179,Centre de Recherche de l'Institut du Cerveau et de la Moelle Epiniere,FRA,Government,1
1182,Toronto Western Hospital,CAN,Health,1
1183,"Institut Catala d'Oncologia, Badalona",ESP,Health,1
1184,University of South Australia,AUS,Universities,1
1185,Christian-Albrechts-Universitat zu Kiel,DEU,Universities,1
1185,National Institute of Genetics,JPN,Health,1
1185,National University Cancer Institute,SGP,Health,2
1188,Sun Yat-sen University Cancer Center,CHN,Health,1
1189,Centro de Investigacion Biomedica en Red sobre Enfermedades Neurodegenerativas,ESP,Health,1
1190,The General Hospital of the People's Liberation Army,CHN,Health,1
1191,Aarhus University Hospital,DNK,Health,2
1191,The Christie NHS Trust,GBR,Health,1
1191,Hospices Civils de Lyon,FRA,Health,1
1194,Nanjing University of Information Science and Technology,CHN,Universities,1
1195,Leibniz-Institut fur Altersforschung - Fritz-Lipmann-Institut,DEU,Government,1
1196,Swinburne University of Technology,AUS,Universities,1
1197,National Cancer Centre,SGP,Health,2
1198,Chongqing University of Post and Telecommunications,CHN,Universities,1
1199,Institut de Sciences des Materiaux de Mulhouse,FRA,Government,1
1199,Astellas Pharma Inc,MUL,Companies,2
1201,"GE Global Research, USA",USA,Companies,1
1201,Translational Research Institute,AUS,Companies,1
1203,South Eastern Sydney Local Health District,AUS,Health,1
1204,Brookhaven National Laboratory,USA,Government,1
1204,Universita degli Studi di Trento,ITA,Universities,1
1206,Universitatsklinikum Tubingen,DEU,Health,1
1207,Singapore Management University,SGP,Universities,1
1208,Ben-Gurion University of the Negev,ISR,Universities,1
1208,Universidade Federal de Santa Catarina,BRA,Universities,1
1210,National University of Malaysia,MYS,Universities,1
1211,University of Guelph,CAN,Universities,1
1212,NASA Goddard Institute for Space Studies,USA,Government,1
1212,Los Alamos National Laboratory,USA,Government,1
1214,Georgia State University,USA,Universities,1
1215,Victor Chang Cardiac Research Institute,AUS,Health,1
1216,Donghua University,CHN,Universities,1
1217,Waseda University,JPN,Universities,1
1218,Sejong University,KOR,Universities,1
1219,Justus-Liebig-Universitat Giessen,DEU,Universities,1
1219,Swansea University,GBR,Universities,1
1221,Institut de Bioenginyeria de Catalunya,ESP,Government,1
1222,Georg-August-Universitat Gottingen,DEU,Universities,1
1223,Kunming University of Science and Technology,CHN,Universities,1
1224,Max Planck Institut fur Softwaresysteme,DEU,Government,2
1225,Hospital Quironsalud Barcelona,ESP,Health,1
1225,Universite Cote d’Azur,FRA,Universities,1
1227,Public Health Agency of Sweden,SWE,Health,1
1228,Moorfields Eye Hospital NHS Trust,GBR,Health,1
1228,Virginia Mason Medical Center ,USA,Health,1
1230,Ajou University,KOR,Universities,1
1230,Royal Brompton and Harefield NHS Foundation Trust,GBR,Health,1
1232,Luxembourg Institute of Health,LUX,Health,1
1232,"China Medical University, Shenyang",CHN,Universities,1
1232,West Virginia University,USA,Universities,1
1235,Medical University of South Carolina,USA,Universities,1
1235,University Hospital Southampton NHS Foundation Trust,GBR,Health,1
1235,Australian Research Council Centre of Excellence for Electromaterials Science,AUS,Government,1
1238,York University,CAN,Universities,1
1239,US Environmental Protection Agency,USA,Government,1
1240,Ford Motor Company,MUL,Companies,1
1241,Konkuk University,KOR,Universities,1
1242,Humanitas University,ITA,Universities,1
1243,Manchester University NHS Foundation Trust,GBR,Health,1
1244,Universitat des Saarlandes,DEU,Universities,1
1245,Thales Group,MUL,Companies,2
1245,University of Virginia Health System,USA,Health,2
1247,"University of the Witwatersrand, Johannesburg",ZAF,Universities,1
1248,Centro de Biotecnologia y Genomica de Plantas,ESP,Government,1
1248,Medical College of Wisconsin,USA,Universities,1
1250,Centrale Supelec,FRA,Universities,1
1250,NHS Tayside,GBR,Health,1
1252,Universita degli Studi di Verona,ITA,Universities,1
1252,Institut de la Vision,FRA,Government,1
1252,Universita degli Studi di Palermo,ITA,Universities,1
1252,"Centro de Investigacion Biomedica en Red en Bioingenieria, Biomateriales y Nanomedicina",ESP,Health,1
1256,STMicroelectronics,MUL,Companies,2
1257,Xiangya Hospital Affiliated to Central South University,CHN,Health,1
1258,Advanced Institutes of Convergence Technology,KOR,Government,1
1259,Springer Nature,MUL,Companies,2
1260,Science and Technology Facilities Council,GBR,Government,1
1261,"Mitsubishi Electric Corp, Japan",JPN,Companies,1
1262,Joint Institute for Laboratory Astrophysics,USA,Government,1
1262,Universitat Regensburg,DEU,Universities,1
1264,COMSATS Institute of Information Technology,PAK,Universities,1
1265,Donald Danforth Plant Science Center,USA,Non-Profit,1
1266,Melanoma Institute Australia,AUS,Government,1
1267,Institut de Robotica i Informatica Industrial,ESP,Government,1
1267,Technische Universitat Darmstadt,DEU,Universities,2
1269,"Guangdong Institute of Microbiology, GDAS",CHN,Government,1
1269,Universitatsklinikum Koln,DEU,Health,1
1269,Nantong University,CHN,Universities,1
1272,University of South Alabama Health System,USA,Health,1
1273,Sahlgrenska University Hospital,SWE,Health,2
1273,University of St. Andrews,GBR,Universities,1
1275,George Mason University,USA,Universities,1
1276,Swedish University of Agricultural Sciences,SWE,Universities,1
1277,Northumbria University,GBR,Universities,1
1278,University of Victoria,CAN,Universities,1
1279,University of Tartu,EST,Universities,1
1280,European Commission - Joint Research Centre,MUL,Government,1
1280,Cranfield University,GBR,Universities,1
1280,Universitatsklinikum Gottingen,DEU,Health,2
1283,Unilever,MUL,Companies,2
1284,University of Aberdeen,GBR,Universities,1
1284,Fundacao Champalimaud,PRT,Health,1
1284,Procter & Gamble Co,MUL,Companies,2
1287,Fraunhofer Institut fur Bildgestutzte Medizin,DEU,Government,1
1288,Basque Center for Macromolecular Design and Engineering,ESP,Government,1
1288,Medizinische Universitat Graz,AUT,Universities,1
1290,Ecole Superieure de Physique et de Chimie Industrielles de la Ville de Paris,FRA,Universities,1
1291,National Veterinary Institute Sweden,SWE,Government,1
1291,University Hospital Antwerp,BEL,Health,1
1293,"Texas A&M University, Health Science Center",USA,Universities,1
1294,Universitatsklinikum Wurzburg,DEU,Health,2
1295,Stellenbosch University,ZAF,Universities,1
1295,Technische Universitat Wien,AUT,Universities,1
1297,University of Pretoria,ZAF,Universities,1
1298,Universite de Liege,BEL,Universities,1
1298,Universidade Federal do Parana,BRA,Universities,1
1298,Friedrich Loeffler Institutes Bundesforschungsinstitut fur Tiergesundheit,DEU,Government,1
1301,Hamad Bin Khalifa University,QAT,Universities,1
1302,Centro de Investigacion y Desarrollo Pascual Vila CS,ESP,Government,1
1303,Fraunhofer Institut fur Solare Energiesysteme,DEU,Government,1
1304,"Institute of Process Engineering, Chinese Academy of Sciences",CHN,Government,1
1305,VTT Technical Research Centre of Finland,FIN,Companies,1
1306,Instituto de Ciencia y Tecnologia de Alimentos y Nutricion,ESP,Government,1
1306,VA Northern California Health Care System,USA,Health,1
1308,Max Planck Institut fur Struktur und Dynamik der Materie,DEU,Government,1
1309,Universitatsklinikum Carl Gustav Carus Dresden,DEU,Health,2
1310,PetroChina Co Ltd,CHN,Companies,1
1310,"Applied Materials Inc, USA",USA,Companies,1
1310,Ecole Nationale Superieure de Chimie de Paris,FRA,Universities,1
1313,Hiroshima University,JPN,Universities,1
1313,Guangzhou University,CHN,Universities,1
1315,Universitat Stuttgart,DEU,Universities,1
1316,Institut de Science et d'Ingenierie Supramoleculaires,FRA,Government,1
1317,University of Texas Health Science Center at San Antonio ,USA,Universities,2
1317,Fritz Haber Institut Max Planck Gesellschaft,DEU,Government,2
1319,Parque Tecnologico de Euskadi,ESP,Non-Profit,1
1320,Universite de Toulouse,FRA,Universities,1
1321,Athinoula A Martinos Center for Biomedical Imaging,USA,Health,1
1322,National Bureau of Economic Research,USA,Non-Profit,1
1322,Institut de Recerca Hospital Universitari Vall d'Hebron,ESP,Health,1
1324,Abbott Laboratories,MUL,Companies,2
1325,"Aerospace Information Research Institute, Chinese Academy of Sciences",CHN,Government,1
1326,Tianjin University of Science and Technology,CHN,Universities,1
1326,Institut de Recerca contra la Leucemia Josep Carreras,ESP,Health,1
1328,Universidad de Cordoba,ESP,Universities,1
1329,Robert Koch Institut,DEU,Government,1
1330,Hospital Clinico Universitario de Valencia,ESP,Health,1
1331,Max Planck Institut fur Herz und Lungenforschung,DEU,Government,1
1332,China Electronics Technology Group Corp,CHN,Companies,1
1333,Universitatsklinikum Ulm,DEU,Health,1
1334,Tokyo Medical and Dental University,JPN,Universities,1
1335,Wadsworth Center,USA,Health,1
1336,"Saudi Arabian Oil Co, Saudi Arabia",SAU,Companies,1
1337,State Key Joint Laboratory of Integrated Optoelectronics,CHN,Government,1
1338,New Jersey Institute of Technology,USA,Universities,1
1338,St Michaels Hospital Toronto,CAN,Health,1
1338,Institut de Recherche pour le Developpement France,FRA,Government,1
1338,University of Connecticut Health Center,USA,Universities,1
1342,Infineon Technologies Austria AG,AUT,Companies,1
1343,Amman Arab University,JOR,Universities,1
1344,Tsinghua-Berkeley Shenzhen Institute,CHN,Government,1
1345,Institut des Sciences Moleculaires de Marseille,FRA,Government,1
1346,"Institut de Chimie et Procedes pour l’Energie, l’Environnement et la Sante",FRA,Government,1
1346,Indian Institute of Science,IND,Universities,1
1348,Manchester Academic Health Science Centre,GBR,Health,1
1349,Raytheon Technologies Corporation,MUL,Companies,2
1350,Second Military Medical University,CHN,Universities,1
1351,Museum National d'Histoire Naturelle,FRA,Government,1
1351,Saint Petersburg State University,RUS,Universities,1
1353,Istituto di Nanotecnologia,ITA,Government,1
1354,University of KwaZulu-Natal,ZAF,Universities,1
1355,Northeast Agricultural University,CHN,Universities,1
1355,"Institute of Optics and Electronics, Chinese Academy of Sciences",CHN,Government,1
1355,"Panasonic Corp, Japan",JPN,Companies,1
1358,Arizona Health Sciences Center University of Arizona Tucson,USA,Health,1
1359,"University of California, Merced",USA,Universities,1
1360,Universitatsklinikum Erlangen,DEU,Health,2
1360,Aston University,GBR,Universities,1
1360,All India Institute of Medical Sciences,IND,Universities,1
1363,Wuhan National Laboratory for Optoelectronics,CHN,Government,1
1364,Red de Institutos IMDEA,ESP,Government,1
1365,Max Planck Institut fur Biogeochemie,DEU,Government,1
1366,Universitatsklinikum Schleswig-Holstein,DEU,Health,1
1366,Ludwig Boltzmann Gesellschaft,AUT,Government,1
1368,China Electronics Technology Group Corp No 54 Research Institute,CHN,Non-Profit,1
1368,World Bank Group,MUL,Non-Profit,1
1370,Skane University Hospital,SWE,Health,1
1371,Medizinische Universitat Innsbruck,AUT,Universities,1
1372,The Children's Hospital at Westmead,AUS,Health,1
1372,Institut Jean-Pierre Bourgin,FRA,Government,1
1372,"Changchun Institute of Optics Fine Mechanics and Physics, Chinese Academy of Sciences",CHN,Government,1
1372,Harbin Medical University,CHN,Universities,1
1376,Universidad de Oviedo,ESP,Universities,1
1376,Instituto de Ciencia de Materiales de Madrid,ESP,Government,1
1378,Universita degli Studi di Perugia,ITA,Universities,1
1379,Henan University,CHN,Universities,1
1380,Universitat Innsbruck,AUT,Universities,1
1380,Fondazione IRCCS Istituto Nazionale Tumori di Milano,ITA,Health,1
1382,Shahid Beheshti University of Medical Sciences and Health Services,IRN,Universities,1
1383,Beijing Technology and Business University,CHN,Universities,1
1384,Thomas Jefferson University,USA,Universities,1
1385,"Fujian Institute of Research On the Structure of Matter, Chinese Academy of Sciences",CHN,Government,1
1386,Zhongshan Hospital,CHN,Health,1
1387,Universita degli Studi di Parma,ITA,Universities,1
1388,Meteo-France,FRA,Government,1
1389,University Hospitals Birmingham NHS Foundation Trust,GBR,Health,2
1390,Barts and the London NHS Trust,GBR,Health,1
1391,"University of Illinois, College of Medicine at Chicago",USA,Health,2
1392,King Fahd Medical Research Center,SAU,Health,1
1393,"Kaiser Permanente Research, Washington",USA,Health,1
1394,Royal Free London NHS Foundation Trust,GBR,Health,1
1394,Universitat fur Bodenkultur Wien,AUT,Universities,1
1396,Renji Hospital,CHN,Health,1
1397,Concordia University,CAN,Universities,1
1397,California Pacific Medical Center,USA,Health,2
1399,Infineon Technologies,MUL,Companies,2
1400,Rush University,USA,Universities,1
1401,Guangxi University,CHN,Universities,1
1402,Semmelweis University,HUN,Universities,1
1403,"Bayer Corp, USA",USA,Companies,1
1403,Sheba Medical Center,ISR,Health,1
1405,Centre Leon-Berard,FRA,Health,1
1406,The Nottingham Trent University,GBR,Universities,2
1407,VIT University,IND,Universities,1
1408,Grupo Hospitalario Quironsalud,MUL,Health,2
1409,Maurice Wilkins Centre,NZL,Government,1
1410,Tianjin Medical University,CHN,Universities,1
1411,Universidade de Aveiro,PRT,Universities,1
1412,American Heart Association,USA,Non-Profit,1
1413,"Hyundai Motor Co, South Korea",KOR,Companies,1
1413,Army Medical University,CHN,Universities,1
1415,Catholic University of Korea,KOR,Universities,1
1416,Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao Paulo,BRA,Health,1
1417,Imagerie et Cerveau,FRA,Government,1
1417,Martin-Luther-Universitat Halle-Wittenberg,DEU,Universities,1
1417,Universite du Luxembourg,LUX,Universities,1
1420,NHS Lothian,GBR,Health,2
1420,Instituto IMDEA Energia,ESP,Government,1
1422,"Texas Instruments, United States",USA,Companies,1
1423,Tata Group,MUL,Companies,2
1423,Istituto Europeo di Oncologia,ITA,Health,1
1425,City University of New York Graduate Center,USA,Universities,1
1426,Clemson University,USA,Universities,1
1427,Institut des Biomolecules Max Mousseron,FRA,Government,1
1427,"Institute of Information Engineering, Chinese Academy of Sciences",CHN,Government,1
1429,Dongguk University,KOR,Universities,1
1430,"European Commission - Joint Research Centre Ispra, Italy",ITA,Government,1
1431,University of Tasmania,AUS,Universities,1
1431,"Thales Group France, S.A.",FRA,Companies,1
1431,The Leeds Teaching Hospitals NHS Trust,GBR,Health,2
1434,University of Jinan,CHN,Universities,1
1435,San Francisco General Hospital,USA,Health,1
1436,National Physical Laboratory,GBR,Government,1
1437,South China Normal University,CHN,Universities,1
1437,Chang'an University ,CHN,Universities,1
1437,Helmholtz Institute Ulm,DEU,Government,1
1440,Natural Environment Research Council,GBR,Government,1
1441,Parque Cientifico y Tecnologico de Vizcaya,ESP,Non-Profit,1
1441,"Abbott Laboratories, United States",USA,Companies,1
1443,Royal Melbourne Hospital,AUS,Health,1
1444,Gwangju Institute of Science and Technology,KOR,Universities,1
1445,Deutsches Rheuma Forschungszentrum Berlin,DEU,Government,1
1446,Dow Chemical Co,MUL,Companies,2
1446,"City University of New York, City College",USA,Universities,1
1448,Forsyth Institute,USA,Health,1
1449,VA St Louis Health Care System,USA,Health,1
1449,Fimlab Laboratories,FIN,Health,1
1451,Netherlands Institute for Neuroscience,NLD,Government,1
1451,Hitachi Energy,MUL,Companies,1
1451,Fundacio per al Foment de la Investigacio Sanitaria i Biomedica,ESP,Non-Profit,1
1454,Environment Canada,CAN,Government,1
1455,AB Volvo,MUL,Companies,1
1456,Osterreichische Akademie der Wissenschaften,AUT,Government,1
1457,"University of Texas, San Antonio",USA,Universities,2
1458,Rush University Medical Center,USA,Health,1
